"AlamanceCounty",1357,37
"AlexanderCounty",140,1
"AlleghanyCounty",39,0
"AnsonCounty",176,1
"AsheCounty",61,1
"AveryCounty",21,0
"BeaufortCounty",123,0
"BertieCounty",154,4
"BladenCounty",419,5
"BrunswickCounty",727,7
"BuncombeCounty",777,30
"BurkeCounty",1144,20
"CabarrusCounty",1454,33
"CaldwellCounty",563,4
"CamdenCounty",34,1
"CarteretCounty",111,3
"CaswellCounty",149,2
"CatawbaCounty",1093,13
"ChathamCounty",1009,44
"CherokeeCounty",52,2
"ChowanCounty",31,0
"ClayCounty",11,0
"ClevelandCounty",448,8
"ColumbusCounty",585,39
"CravenCounty",426,8
"CumberlandCounty",1490,41
"CurrituckCounty",22,0
"DareCounty",85,1
"DavidsonCounty",1175,15
"DavieCounty",236,3
"DuplinCounty",1637,29
"DurhamCounty",4260,67
"EdgecombeCounty",363,9
"ForsythCounty",3525,37
"FranklinCounty",435,21
"GastonCounty",1547,15
"GatesCounty",29,2
"GrahamCounty",10,0
"GranvilleCounty",877,23
"GreeneCounty",196,3
"GuilfordCounty",3361,121
"HalifaxCounty",346,4
"HarnettCounty",744,30
"HaywoodCounty",113,0
"HendersonCounty",820,50
"HertfordCounty",174,10
"HokeCounty",434,4
"HydeCounty",25,0
"IredellCounty",985,10
"JacksonCounty",157,1
"JohnstonCounty",1879,34
"JonesCounty",38,3
"LeeCounty",901,8
"LenoirCounty",406,11
"LincolnCounty",347,2
"MaconCounty",315,1
"MadisonCounty",15,0
"MartinCounty",157,5
"McDowellCounty",299,2
"MecklenburgCounty",13757,158
"MitchellCounty",56,0
"MontgomeryCounty",368,9
"MooreCounty",594,13
"NashCounty",586,6
"NewHanoverCounty",1304,7
"NorthamptonCounty",189,15
"OnslowCounty",372,3
"OrangeCounty",892,42
"PamlicoCounty",27,0
"PasquotankCounty",233,17
"PenderCounty",330,2
"PerquimansCounty",37,2
"PersonCounty",125,1
"PittCounty",876,6
"PolkCounty",92,4
"RandolphCounty",1387,32
"RichmondCounty",345,7
"RobesonCounty",1479,44
"RockinghamCounty",284,2
"RowanCounty",1426,43
"RutherfordCounty",364,9
"SampsonCounty",1149,7
"ScotlandCounty",157,2
"StanlyCounty",531,5
"StokesCounty",155,1
"SurryCounty",552,2
"SwainCounty",69,1
"TransylvaniaCounty",38,1
"TyrrellCounty",31,1
"UnionCounty",1643,25
"VanceCounty",548,40
"WakeCounty",6704,57
"WarrenCounty",179,5
"WashingtonCounty",41,3
"WataugaCounty",108,0
"WayneCounty",1942,30
"WilkesCounty",602,6
"WilsonCounty",854,23
"YadkinCounty",364,5
"YanceyCounty",52,0
