"AlamanceCounty",2876,44
"AlexanderCounty",366,2
"AlleghanyCounty",189,0
"AnsonCounty",400,3
"AsheCounty",184,1
"AveryCounty",119,0
"BeaufortCounty",497,9
"BertieCounty",359,5
"BladenCounty",669,9
"BrunswickCounty",1353,22
"BuncombeCounty",2260,64
"BurkeCounty",1792,27
"CabarrusCounty",2958,51
"CaldwellCounty",1354,14
"CamdenCounty",85,2
"CarteretCounty",423,5
"CaswellCounty",216,2
"CatawbaCounty",2436,39
"ChathamCounty",1422,56
"CherokeeCounty",364,5
"ChowanCounty",182,2
"ClayCounty",82,1
"ClevelandCounty",1474,25
"ColumbusCounty",1040,50
"CravenCounty",874,24
"CumberlandCounty",3727,65
"CurrituckCounty",89,0
"DareCounty",230,2
"DavidsonCounty",2023,31
"DavieCounty",459,6
"DuplinCounty",2055,49
"DurhamCounty",6599,81
"EdgecombeCounty",845,17
"ForsythCounty",5824,66
"FranklinCounty",973,28
"GastonCounty",3814,61
"GatesCounty",72,2
"GrahamCounty",50,0
"GranvilleCounty",1441,37
"GreeneCounty",370,3
"GuilfordCounty",6377,163
"HalifaxCounty",815,9
"HarnettCounty",1495,43
"HaywoodCounty",485,25
"HendersonCounty",1645,59
"HertfordCounty",462,12
"HokeCounty",819,12
"HydeCounty",76,0
"IredellCounty",2187,18
"JacksonCounty",468,7
"JohnstonCounty",3595,49
"JonesCounty",126,6
"LeeCounty",1380,11
"LenoirCounty",715,11
"LincolnCounty",1012,10
"MaconCounty",516,2
"MadisonCounty",56,1
"MartinCounty",310,7
"McDowellCounty",751,23
"MecklenburgCounty",24129,271
"MitchellCounty",88,3
"MontgomeryCounty",779,17
"MooreCounty",1207,21
"NashCounty",1464,21
"NewHanoverCounty",2840,21
"NorthamptonCounty",335,17
"OnslowCounty",1340,13
"OrangeCounty",1891,50
"PamlicoCounty",84,2
"PasquotankCounty",507,22
"PenderCounty",738,4
"PerquimansCounty",102,2
"PersonCounty",276,2
"PittCounty",2670,15
"PolkCounty",200,6
"RandolphCounty",2318,43
"RichmondCounty",611,9
"RobesonCounty",3209,58
"RockinghamCounty",691,7
"RowanCounty",2556,54
"RutherfordCounty",885,17
"SampsonCounty",1551,20
"ScotlandCounty",556,8
"StanlyCounty",1375,31
"StokesCounty",319,3
"SurryCounty",1080,14
"SwainCounty",123,3
"TransylvaniaCounty",207,1
"TyrrellCounty",103,2
"UnionCounty",3679,47
"VanceCounty",854,42
"WakeCounty",13700,188
"WarrenCounty",281,6
"WashingtonCounty",160,4
"WataugaCounty",382,0
"WayneCounty",2672,46
"WilkesCounty",976,20
"WilsonCounty",1656,36
"YadkinCounty",599,7
"YanceyCounty",85,0
