"AlamanceCounty",6260,96
"AlexanderCounty",1359,13
"AlleghanyCounty",365,1
"AnsonCounty",837,13
"AsheCounty",657,3
"AveryCounty",816,3
"BeaufortCounty",1574,52
"BertieCounty",812,22
"BladenCounty",1213,19
"BrunswickCounty",2623,55
"BuncombeCounty",4964,118
"BurkeCounty",3334,61
"CabarrusCounty",6042,101
"CaldwellCounty",3117,21
"CamdenCounty",163,3
"CarteretCounty",1484,14
"CaswellCounty",744,6
"CatawbaCounty",5901,74
"ChathamCounty",2202,65
"CherokeeCounty",870,15
"ChowanCounty",575,17
"ClayCounty",266,5
"ClevelandCounty",3841,99
"ColumbusCounty",2267,68
"CravenCounty",2773,67
"CumberlandCounty",8420,109
"CurrituckCounty",292,4
"DareCounty",554,3
"DavidsonCounty",4593,48
"DavieCounty",1015,12
"DuplinCounty",3118,56
"DurhamCounty",10444,107
"EdgecombeCounty",2329,69
"ForsythCounty",11366,151
"FranklinCounty",1746,32
"GastonCounty",9145,170
"GatesCounty",188,5
"GrahamCounty",265,11
"GranvilleCounty",2324,55
"GreeneCounty",1106,21
"GuilfordCounty",14549,222
"HalifaxCounty",1769,33
"HarnettCounty",3513,77
"HaywoodCounty",916,37
"HendersonCounty",2870,70
"HertfordCounty",927,39
"HokeCounty",1804,28
"HydeCounty",180,5
"IredellCounty",4709,42
"JacksonCounty",1291,8
"JohnstonCounty",6801,70
"JonesCounty",229,15
"LeeCounty",2310,29
"LenoirCounty",1843,46
"LincolnCounty",3007,20
"MaconCounty",866,8
"MadisonCounty",403,7
"MartinCounty",750,21
"McDowellCounty",1624,34
"MecklenburgCounty",39166,425
"MitchellCounty",426,4
"MontgomeryCounty",1304,41
"MooreCounty",2612,58
"NashCounty",4049,89
"NewHanoverCounty",6281,49
"NorthamptonCounty",690,22
"OnslowCounty",4364,36
"OrangeCounty",3572,61
"PamlicoCounty",356,3
"PasquotankCounty",1007,35
"PenderCounty",1658,17
"PerquimansCounty",303,4
"PersonCounty",849,11
"PittCounty",7101,44
"PolkCounty",438,13
"RandolphCounty",4748,74
"RichmondCounty",1681,36
"RobesonCounty",6804,103
"RockinghamCounty",2645,22
"RowanCounty",5002,125
"RutherfordCounty",2070,73
"SampsonCounty",3263,33
"ScotlandCounty",1791,37
"StanlyCounty",2734,78
"StokesCounty",949,14
"SurryCounty",2426,41
"SwainCounty",353,5
"TransylvaniaCounty",487,9
"TyrrellCounty",136,3
"UnionCounty",6995,68
"VanceCounty",1482,48
"WakeCounty",25321,282
"WarrenCounty",558,8
"WashingtonCounty",293,8
"WataugaCounty",1625,6
"WayneCounty",5261,106
"WilkesCounty",2354,44
"WilsonCounty",3633,74
"YadkinCounty",1294,12
"YanceyCounty",450,2
