"AlamanceCounty",4018,55
"AlexanderCounty",541,7
"AlleghanyCounty",238,0
"AnsonCounty",630,6
"AsheCounty",279,1
"AveryCounty",367,0
"BeaufortCounty",985,26
"BertieCounty",608,11
"BladenCounty",930,16
"BrunswickCounty",1681,27
"BuncombeCounty",3224,84
"BurkeCounty",2155,42
"CabarrusCounty",4112,74
"CaldwellCounty",1710,18
"CamdenCounty",116,3
"CarteretCounty",744,5
"CaswellCounty",381,5
"CatawbaCounty",3255,53
"ChathamCounty",1703,58
"CherokeeCounty",659,12
"ChowanCounty",375,4
"ClayCounty",125,2
"ClevelandCounty",2328,68
"ColumbusCounty",1409,57
"CravenCounty",1711,39
"CumberlandCounty",5664,80
"CurrituckCounty",186,3
"DareCounty",282,3
"DavidsonCounty",2883,37
"DavieCounty",587,6
"DuplinCounty",2414,54
"DurhamCounty",7878,95
"EdgecombeCounty",1412,50
"ForsythCounty",7182,104
"FranklinCounty",1243,31
"GastonCounty",5352,85
"GatesCounty",144,3
"GrahamCounty",177,3
"GranvilleCounty",1770,50
"GreeneCounty",633,5
"GuilfordCounty",8859,185
"HalifaxCounty",1065,21
"HarnettCounty",2331,54
"HaywoodCounty",624,31
"HendersonCounty",2063,64
"HertfordCounty",779,30
"HokeCounty",1243,18
"HydeCounty",128,5
"IredellCounty",3138,33
"JacksonCounty",670,7
"JohnstonCounty",4602,57
"JonesCounty",160,14
"LeeCounty",1683,15
"LenoirCounty",1031,33
"LincolnCounty",1714,15
"MaconCounty",630,2
"MadisonCounty",112,1
"MartinCounty",486,9
"McDowellCounty",1034,27
"MecklenburgCounty",29132,359
"MitchellCounty",166,3
"MontgomeryCounty",1053,33
"MooreCounty",1753,33
"NashCounty",2463,43
"NewHanoverCounty",4379,32
"NorthamptonCounty",464,17
"OnslowCounty",2281,25
"OrangeCounty",2703,56
"PamlicoCounty",269,2
"PasquotankCounty",717,31
"PenderCounty",985,7
"PerquimansCounty",189,3
"PersonCounty",446,8
"PittCounty",5019,29
"PolkCounty",322,11
"RandolphCounty",2908,54
"RichmondCounty",1049,17
"RobesonCounty",4677,83
"RockinghamCounty",1323,14
"RowanCounty",3501,102
"RutherfordCounty",1260,32
"SampsonCounty",2287,28
"ScotlandCounty",1257,16
"StanlyCounty",2033,56
"StokesCounty",468,4
"SurryCounty",1363,23
"SwainCounty",154,3
"TransylvaniaCounty",335,8
"TyrrellCounty",116,3
"UnionCounty",4943,59
"VanceCounty",1072,44
"WakeCounty",17878,256
"WarrenCounty",355,7
"WashingtonCounty",214,8
"WataugaCounty",927,1
"WayneCounty",3459,69
"WilkesCounty",1270,34
"WilsonCounty",2296,54
"YadkinCounty",752,9
"YanceyCounty",217,0
