"AlamanceCounty",1755,40
"AlexanderCounty",221,2
"AlleghanyCounty",52,0
"AnsonCounty",267,1
"AsheCounty",77,1
"AveryCounty",52,0
"BeaufortCounty",209,0
"BertieCounty",181,4
"BladenCounty",493,5
"BrunswickCounty",977,11
"BuncombeCounty",1223,41
"BurkeCounty",1337,22
"CabarrusCounty",1989,35
"CaldwellCounty",809,6
"CamdenCounty",47,2
"CarteretCounty",176,4
"CaswellCounty",167,2
"CatawbaCounty",1548,15
"ChathamCounty",1116,47
"CherokeeCounty",141,2
"ChowanCounty",65,0
"ClayCounty",37,0
"ClevelandCounty",708,11
"ColumbusCounty",709,40
"CravenCounty",515,8
"CumberlandCounty",2032,46
"CurrituckCounty",52,0
"DareCounty",147,1
"DavidsonCounty",1447,16
"DavieCounty",282,3
"DuplinCounty",1787,35
"DurhamCounty",5169,73
"EdgecombeCounty",463,10
"ForsythCounty",4297,41
"FranklinCounty",611,23
"GastonCounty",2359,19
"GatesCounty",33,2
"GrahamCounty",12,0
"GranvilleCounty",1038,25
"GreeneCounty",260,3
"GuilfordCounty",4314,134
"HalifaxCounty",481,4
"HarnettCounty",902,33
"HaywoodCounty",192,0
"HendersonCounty",1137,52
"HertfordCounty",205,11
"HokeCounty",555,6
"HydeCounty",34,0
"IredellCounty",1385,11
"JacksonCounty",293,3
"JohnstonCounty",2422,41
"JonesCounty",43,3
"LeeCounty",1006,8
"LenoirCounty",459,11
"LincolnCounty",576,2
"MaconCounty",392,1
"MadisonCounty",24,0
"MartinCounty",190,6
"McDowellCounty",411,3
"MecklenburgCounty",17800,177
"MitchellCounty",60,1
"MontgomeryCounty",458,10
"MooreCounty",720,14
"NashCounty",776,7
"NewHanoverCounty",1889,14
"NorthamptonCounty",236,16
"OnslowCounty",596,7
"OrangeCounty",1112,45
"PamlicoCounty",45,1
"PasquotankCounty",271,17
"PenderCounty",501,2
"PerquimansCounty",48,2
"PersonCounty",151,1
"PittCounty",1239,6
"PolkCounty",117,5
"RandolphCounty",1768,34
"RichmondCounty",406,7
"RobesonCounty",1994,46
"RockinghamCounty",363,3
"RowanCounty",1744,43
"RutherfordCounty",472,11
"SampsonCounty",1328,8
"ScotlandCounty",200,2
"StanlyCounty",670,5
"StokesCounty",200,1
"SurryCounty",688,4
"SwainCounty",84,2
"TransylvaniaCounty",96,1
"TyrrellCounty",78,1
"UnionCounty",2251,32
"VanceCounty",638,40
"WakeCounty",9063,93
"WarrenCounty",208,6
"WashingtonCounty",80,3
"WataugaCounty",185,0
"WayneCounty",2123,35
"WilkesCounty",665,7
"WilsonCounty",1174,28
"YadkinCounty",415,6
"YanceyCounty",68,0
