"AlamanceCounty",1179,37
"AlexanderCounty",101,1
"AlleghanyCounty",36,0
"AnsonCounty",138,1
"AsheCounty",54,1
"AveryCounty",13,0
"BeaufortCounty",93,0
"BertieCounty",146,4
"BladenCounty",384,3
"BrunswickCounty",574,6
"BuncombeCounty",624,38
"BurkeCounty",1057,20
"CabarrusCounty",1187,33
"CaldwellCounty",452,4
"CamdenCounty",30,0
"CarteretCounty",91,3
"CaswellCounty",141,1
"CatawbaCounty",826,12
"ChathamCounty",964,43
"CherokeeCounty",45,2
"ChowanCounty",25,0
"ClayCounty",10,0
"ClevelandCounty",324,4
"ColumbusCounty",543,39
"CravenCounty",382,6
"CumberlandCounty",1266,41
"CurrituckCounty",19,0
"DareCounty",59,1
"DavidsonCounty",1012,15
"DavieCounty",206,3
"DuplinCounty",1509,27
"DurhamCounty",3830,63
"EdgecombeCounty",326,9
"ForsythCounty",3132,37
"FranklinCounty",371,21
"GastonCounty",1168,11
"GatesCounty",27,2
"GrahamCounty",10,0
"GranvilleCounty",814,21
"GreeneCounty",183,3
"GuilfordCounty",2946,117
"HalifaxCounty",314,4
"HarnettCounty",667,30
"HaywoodCounty",91,0
"HendersonCounty",667,49
"HertfordCounty",166,10
"HokeCounty",388,3
"HydeCounty",12,0
"IredellCounty",817,7
"JacksonCounty",125,1
"JohnstonCounty",1570,32
"JonesCounty",35,3
"LeeCounty",843,8
"LenoirCounty",375,11
"LincolnCounty",268,1
"MaconCounty",289,1
"MadisonCounty",13,0
"MartinCounty",137,4
"McDowellCounty",245,2
"MecklenburgCounty",11803,150
"MitchellCounty",34,0
"MontgomeryCounty",321,7
"MooreCounty",500,13
"NashCounty",489,6
"NewHanoverCounty",982,6
"NorthamptonCounty",185,15
"OnslowCounty",324,3
"OrangeCounty",715,41
"PamlicoCounty",22,0
"PasquotankCounty",212,17
"PenderCounty",271,2
"PerquimansCounty",36,2
"PersonCounty",107,1
"PittCounty",732,6
"PolkCounty",74,4
"RandolphCounty",1234,30
"RichmondCounty",296,7
"RobesonCounty",1264,39
"RockinghamCounty",235,2
"RowanCounty",1251,41
"RutherfordCounty",307,9
"SampsonCounty",1071,6
"ScotlandCounty",142,2
"StanlyCounty",411,5
"StokesCounty",129,1
"SurryCounty",488,2
"SwainCounty",58,1
"TransylvaniaCounty",22,1
"TyrrellCounty",11,0
"UnionCounty",1311,25
"VanceCounty",507,37
"WakeCounty",5453,49
"WarrenCounty",160,5
"WashingtonCounty",38,3
"WataugaCounty",75,0
"WayneCounty",1847,28
"WilkesCounty",583,6
"WilsonCounty",745,20
"YadkinCounty",334,4
"YanceyCounty",43,0
