"AlamanceCounty",10120,117
"AlexanderCounty",2526,29
"AlleghanyCounty",611,2
"AnsonCounty",1380,23
"AsheCounty",1185,27
"AveryCounty",1323,15
"BeaufortCounty",2407,58
"BertieCounty",1167,27
"BladenCounty",1779,24
"BrunswickCounty",4243,71
"BuncombeCounty",8893,144
"BurkeCounty",6033,75
"CabarrusCounty",10772,135
"CaldwellCounty",5646,28
"CamdenCounty",272,5
"CarteretCounty",2631,17
"CaswellCounty",1136,8
"CatawbaCounty",10801,141
"ChathamCounty",2839,65
"CherokeeCounty",1227,15
"ChowanCounty",805,20
"ClayCounty",365,5
"ClevelandCounty",6423,137
"ColumbusCounty",3505,82
"CravenCounty",4891,81
"CumberlandCounty",13435,134
"CurrituckCounty",612,11
"DareCounty",973,5
"DavidsonCounty",8361,77
"DavieCounty",2010,13
"DuplinCounty",4128,67
"DurhamCounty",14376,135
"EdgecombeCounty",3155,81
"ForsythCounty",19947,221
"FranklinCounty",2982,37
"GastonCounty",14907,233
"GatesCounty",341,12
"GrahamCounty",370,11
"GranvilleCounty",3480,62
"GreeneCounty",1499,27
"GuilfordCounty",23810,308
"HalifaxCounty",2773,45
"HarnettCounty",5714,89
"HaywoodCounty",2005,61
"HendersonCounty",5172,89
"HertfordCounty",1307,47
"HokeCounty",2690,34
"HydeCounty",300,5
"IredellCounty",9047,88
"JacksonCounty",2214,18
"JohnstonCounty",11132,102
"JonesCounty",391,16
"LeeCounty",3392,39
"LenoirCounty",3136,67
"LincolnCounty",5197,20
"MaconCounty",1339,9
"MadisonCounty",785,19
"MartinCounty",1272,24
"McDowellCounty",2981,38
"MecklenburgCounty",60618,543
"MitchellCounty",862,6
"MontgomeryCounty",1868,46
"MooreCounty",4667,75
"NashCounty",5908,120
"NewHanoverCounty",9381,84
"NorthamptonCounty",1022,27
"OnslowCounty",8384,62
"OrangeCounty",4932,63
"PamlicoCounty",518,5
"PasquotankCounty",1714,43
"PenderCounty",2670,22
"PerquimansCounty",511,5
"PersonCounty",1533,21
"PittCounty",11008,69
"PolkCounty",692,13
"RandolphCounty",7753,118
"RichmondCounty",2578,47
"RobesonCounty",9434,136
"RockinghamCounty",4324,25
"RowanCounty",8665,162
"RutherfordCounty",4143,93
"SampsonCounty",4796,60
"ScotlandCounty",2472,52
"StanlyCounty",4161,78
"StokesCounty",1917,26
"SurryCounty",4251,63
"SwainCounty",647,7
"TransylvaniaCounty",868,10
"TyrrellCounty",165,3
"UnionCounty",11910,95
"VanceCounty",2593,67
"WakeCounty",41823,337
"WarrenCounty",1065,9
"WashingtonCounty",423,10
"WataugaCounty",2528,14
"WayneCounty",7261,145
"WilkesCounty",3745,69
"WilsonCounty",5365,103
"YadkinCounty",2310,28
"YanceyCounty",1016,5
