"AlamanceCounty",4172,59
"AlexanderCounty",559,8
"AlleghanyCounty",244,0
"AnsonCounty",653,6
"AsheCounty",294,1
"AveryCounty",431,0
"BeaufortCounty",1031,27
"BertieCounty",625,11
"BladenCounty",950,17
"BrunswickCounty",1756,27
"BuncombeCounty",3381,88
"BurkeCounty",2253,43
"CabarrusCounty",4232,78
"CaldwellCounty",1838,18
"CamdenCounty",124,3
"CarteretCounty",803,5
"CaswellCounty",467,5
"CatawbaCounty",3433,55
"ChathamCounty",1749,59
"CherokeeCounty",679,12
"ChowanCounty",400,4
"ClayCounty",134,2
"ClevelandCounty",2467,72
"ColumbusCounty",1443,57
"CravenCounty",1852,44
"CumberlandCounty",5897,80
"CurrituckCounty",196,3
"DareCounty",293,3
"DavidsonCounty",3015,38
"DavieCounty",609,6
"DuplinCounty",2507,54
"DurhamCounty",8019,97
"EdgecombeCounty",1497,52
"ForsythCounty",7382,104
"FranklinCounty",1282,31
"GastonCounty",5660,89
"GatesCounty",147,3
"GrahamCounty",199,5
"GranvilleCounty",1792,50
"GreeneCounty",705,5
"GuilfordCounty",9234,188
"HalifaxCounty",1102,22
"HarnettCounty",2421,56
"HaywoodCounty",636,31
"HendersonCounty",2130,64
"HertfordCounty",806,33
"HokeCounty",1314,18
"HydeCounty",145,5
"IredellCounty",3228,33
"JacksonCounty",711,7
"JohnstonCounty",4770,57
"JonesCounty",160,14
"LeeCounty",1764,15
"LenoirCounty",1069,33
"LincolnCounty",1828,15
"MaconCounty",658,2
"MadisonCounty",120,1
"MartinCounty",513,12
"McDowellCounty",1085,27
"MecklenburgCounty",29701,363
"MitchellCounty",172,3
"MontgomeryCounty",1070,35
"MooreCounty",1857,33
"NashCounty",2638,45
"NewHanoverCounty",4516,33
"NorthamptonCounty",485,17
"OnslowCounty",2402,26
"OrangeCounty",2765,57
"PamlicoCounty",277,2
"PasquotankCounty",753,33
"PenderCounty",1067,8
"PerquimansCounty",198,3
"PersonCounty",470,8
"PittCounty",5174,33
"PolkCounty",336,11
"RandolphCounty",3031,54
"RichmondCounty",1098,20
"RobesonCounty",4905,84
"RockinghamCounty",1434,15
"RowanCounty",3622,104
"RutherfordCounty",1357,34
"SampsonCounty",2338,28
"ScotlandCounty",1331,17
"StanlyCounty",2128,56
"StokesCounty",499,4
"SurryCounty",1424,23
"SwainCounty",166,3
"TransylvaniaCounty",344,9
"TyrrellCounty",116,3
"UnionCounty",5141,59
"VanceCounty",1091,45
"WakeCounty",18463,257
"WarrenCounty",365,7
"WashingtonCounty",220,8
"WataugaCounty",1089,2
"WayneCounty",3620,73
"WilkesCounty",1336,35
"WilsonCounty",2389,57
"YadkinCounty",784,9
"YanceyCounty",222,0
