"AlamanceCounty",1535,37
"AlexanderCounty",186,1
"AlleghanyCounty",44,0
"AnsonCounty",218,1
"AsheCounty",67,1
"AveryCounty",36,0
"BeaufortCounty",163,0
"BertieCounty",161,4
"BladenCounty",457,5
"BrunswickCounty",853,10
"BuncombeCounty",957,40
"BurkeCounty",1245,21
"CabarrusCounty",1754,33
"CaldwellCounty",685,6
"CamdenCounty",42,1
"CarteretCounty",152,3
"CaswellCounty",156,2
"CatawbaCounty",1327,14
"ChathamCounty",1072,46
"CherokeeCounty",91,2
"ChowanCounty",39,0
"ClayCounty",16,0
"ClevelandCounty",558,9
"ColumbusCounty",650,39
"CravenCounty",483,8
"CumberlandCounty",1729,43
"CurrituckCounty",33,0
"DareCounty",123,1
"DavidsonCounty",1296,16
"DavieCounty",259,3
"DuplinCounty",1720,33
"DurhamCounty",4733,71
"EdgecombeCounty",409,9
"ForsythCounty",3850,40
"FranklinCounty",533,22
"GastonCounty",2003,17
"GatesCounty",31,2
"GrahamCounty",10,0
"GranvilleCounty",974,25
"GreeneCounty",238,3
"GuilfordCounty",3840,128
"HalifaxCounty",433,4
"HarnettCounty",815,32
"HaywoodCounty",142,0
"HendersonCounty",982,51
"HertfordCounty",181,11
"HokeCounty",482,4
"HydeCounty",31,0
"IredellCounty",1195,10
"JacksonCounty",221,3
"JohnstonCounty",2218,38
"JonesCounty",39,3
"LeeCounty",952,8
"LenoirCounty",439,11
"LincolnCounty",473,2
"MaconCounty",337,1
"MadisonCounty",18,0
"MartinCounty",173,6
"McDowellCounty",339,2
"MecklenburgCounty",15950,164
"MitchellCounty",57,1
"MontgomeryCounty",417,9
"MooreCounty",653,14
"NashCounty",686,6
"NewHanoverCounty",1594,8
"NorthamptonCounty",200,16
"OnslowCounty",454,3
"OrangeCounty",1015,43
"PamlicoCounty",39,1
"PasquotankCounty",258,17
"PenderCounty",425,2
"PerquimansCounty",40,2
"PersonCounty",135,1
"PittCounty",1000,6
"PolkCounty",101,4
"RandolphCounty",1580,33
"RichmondCounty",375,7
"RobesonCounty",1731,44
"RockinghamCounty",322,2
"RowanCounty",1578,43
"RutherfordCounty",422,10
"SampsonCounty",1228,8
"ScotlandCounty",177,2
"StanlyCounty",597,5
"StokesCounty",176,1
"SurryCounty",604,3
"SwainCounty",73,1
"TransylvaniaCounty",61,1
"TyrrellCounty",62,1
"UnionCounty",1942,30
"VanceCounty",593,40
"WakeCounty",7971,77
"WarrenCounty",193,6
"WashingtonCounty",54,3
"WataugaCounty",142,0
"WayneCounty",2039,34
"WilkesCounty",640,7
"WilsonCounty",1024,26
"YadkinCounty",395,5
"YanceyCounty",63,0
