"AlamanceCounty",10011,116
"AlexanderCounty",2505,29
"AlleghanyCounty",603,2
"AnsonCounty",1360,23
"AsheCounty",1177,27
"AveryCounty",1321,15
"BeaufortCounty",2377,58
"BertieCounty",1158,27
"BladenCounty",1764,24
"BrunswickCounty",4192,71
"BuncombeCounty",8741,144
"BurkeCounty",5971,75
"CabarrusCounty",10573,135
"CaldwellCounty",5566,28
"CamdenCounty",270,5
"CarteretCounty",2612,17
"CaswellCounty",1119,8
"CatawbaCounty",10647,141
"ChathamCounty",2818,65
"CherokeeCounty",1218,15
"ChowanCounty",798,20
"ClayCounty",358,5
"ClevelandCounty",6349,137
"ColumbusCounty",3482,82
"CravenCounty",4874,81
"CumberlandCounty",13290,134
"CurrituckCounty",603,11
"DareCounty",955,5
"DavidsonCounty",8193,77
"DavieCounty",1972,13
"DuplinCounty",4112,67
"DurhamCounty",14276,135
"EdgecombeCounty",3139,81
"ForsythCounty",19697,213
"FranklinCounty",2909,37
"GastonCounty",14708,230
"GatesCounty",339,12
"GrahamCounty",368,11
"GranvilleCounty",3446,61
"GreeneCounty",1493,27
"GuilfordCounty",23482,308
"HalifaxCounty",2755,45
"HarnettCounty",5668,89
"HaywoodCounty",1982,61
"HendersonCounty",5109,89
"HertfordCounty",1302,47
"HokeCounty",2651,34
"HydeCounty",293,5
"IredellCounty",8945,88
"JacksonCounty",2200,18
"JohnstonCounty",10990,102
"JonesCounty",387,16
"LeeCounty",3354,39
"LenoirCounty",3117,67
"LincolnCounty",5122,20
"MaconCounty",1322,9
"MadisonCounty",776,19
"MartinCounty",1259,24
"McDowellCounty",2954,38
"MecklenburgCounty",59704,530
"MitchellCounty",848,6
"MontgomeryCounty",1854,46
"MooreCounty",4593,75
"NashCounty",5845,119
"NewHanoverCounty",9292,83
"NorthamptonCounty",1013,27
"OnslowCounty",8284,59
"OrangeCounty",4882,63
"PamlicoCounty",515,5
"PasquotankCounty",1675,43
"PenderCounty",2635,22
"PerquimansCounty",503,5
"PersonCounty",1514,21
"PittCounty",10914,69
"PolkCounty",683,13
"RandolphCounty",7666,117
"RichmondCounty",2555,47
"RobesonCounty",9321,136
"RockinghamCounty",4276,25
"RowanCounty",8575,162
"RutherfordCounty",4078,93
"SampsonCounty",4776,59
"ScotlandCounty",2459,52
"StanlyCounty",4117,78
"StokesCounty",1886,23
"SurryCounty",4202,63
"SwainCounty",628,7
"TransylvaniaCounty",856,10
"TyrrellCounty",163,3
"UnionCounty",11653,95
"VanceCounty",2572,67
"WakeCounty",40855,337
"WarrenCounty",1053,9
"WashingtonCounty",421,10
"WataugaCounty",2515,14
"WayneCounty",7182,145
"WilkesCounty",3709,69
"WilsonCounty",5336,103
"YadkinCounty",2281,28
"YanceyCounty",1006,6
