"AlamanceCounty",1954,41
"AlexanderCounty",253,2
"AlleghanyCounty",62,0
"AnsonCounty",280,2
"AsheCounty",84,1
"AveryCounty",61,0
"BeaufortCounty",272,1
"BertieCounty",214,4
"BladenCounty",528,5
"BrunswickCounty",1052,13
"BuncombeCounty",1445,42
"BurkeCounty",1424,24
"CabarrusCounty",2164,38
"CaldwellCounty",961,7
"CamdenCounty",52,2
"CarteretCounty",262,4
"CaswellCounty",173,2
"CatawbaCounty",1727,15
"ChathamCounty",1175,49
"CherokeeCounty",195,3
"ChowanCounty",100,0
"ClayCounty",52,0
"ClevelandCounty",839,13
"ColumbusCounty",753,42
"CravenCounty",572,8
"CumberlandCounty",2318,49
"CurrituckCounty",65,0
"DareCounty",175,1
"DavidsonCounty",1527,16
"DavieCounty",296,3
"DuplinCounty",1862,40
"DurhamCounty",5487,76
"EdgecombeCounty",514,10
"ForsythCounty",4556,41
"FranklinCounty",693,25
"GastonCounty",2692,25
"GatesCounty",37,2
"GrahamCounty",17,0
"GranvilleCounty",1109,25
"GreeneCounty",274,3
"GuilfordCounty",4691,139
"HalifaxCounty",551,5
"HarnettCounty",1003,35
"HaywoodCounty",231,0
"HendersonCounty",1279,53
"HertfordCounty",234,11
"HokeCounty",616,7
"HydeCounty",35,0
"IredellCounty",1501,16
"JacksonCounty",352,3
"JohnstonCounty",2620,43
"JonesCounty",46,3
"LeeCounty",1068,9
"LenoirCounty",487,11
"LincolnCounty",651,2
"MaconCounty",422,1
"MadisonCounty",30,0
"MartinCounty",207,6
"McDowellCounty",460,5
"MecklenburgCounty",19268,183
"MitchellCounty",68,2
"MontgomeryCounty",514,13
"MooreCounty",805,20
"NashCounty",843,10
"NewHanoverCounty",2086,15
"NorthamptonCounty",256,16
"OnslowCounty",712,9
"OrangeCounty",1197,45
"PamlicoCounty",50,1
"PasquotankCounty",298,17
"PenderCounty",557,3
"PerquimansCounty",56,2
"PersonCounty",174,1
"PittCounty",1472,10
"PolkCounty",124,5
"RandolphCounty",1911,35
"RichmondCounty",449,8
"RobesonCounty",2250,48
"RockinghamCounty",402,3
"RowanCounty",1859,46
"RutherfordCounty",542,11
"SampsonCounty",1381,10
"ScotlandCounty",227,2
"StanlyCounty",778,6
"StokesCounty",218,2
"SurryCounty",757,4
"SwainCounty",91,2
"TransylvaniaCounty",107,1
"TyrrellCounty",87,1
"UnionCounty",2503,35
"VanceCounty",685,40
"WakeCounty",9991,108
"WarrenCounty",226,6
"WashingtonCounty",100,3
"WataugaCounty",210,0
"WayneCounty",2207,36
"WilkesCounty",694,9
"WilsonCounty",1288,28
"YadkinCounty",441,6
"YanceyCounty",69,0
