"AlamanceCounty",3294,46
"AlexanderCounty",427,3
"AlleghanyCounty",205,0
"AnsonCounty",458,3
"AsheCounty",210,1
"AveryCounty",150,0
"BeaufortCounty",608,10
"BertieCounty",457,6
"BladenCounty",738,10
"BrunswickCounty",1410,24
"BuncombeCounty",2565,72
"BurkeCounty",1874,30
"CabarrusCounty",3308,54
"CaldwellCounty",1453,17
"CamdenCounty",100,3
"CarteretCounty",526,5
"CaswellCounty",249,3
"CatawbaCounty",2658,47
"ChathamCounty",1514,56
"CherokeeCounty",466,5
"ChowanCounty",231,2
"ClayCounty",90,1
"ClevelandCounty",1636,44
"ColumbusCounty",1158,52
"CravenCounty",1013,26
"CumberlandCounty",4238,67
"CurrituckCounty",113,0
"DareCounty",245,2
"DavidsonCounty",2236,32
"DavieCounty",493,6
"DuplinCounty",2086,52
"DurhamCounty",7017,84
"EdgecombeCounty",1023,21
"ForsythCounty",6287,82
"FranklinCounty",1084,29
"GastonCounty",4208,66
"GatesCounty",94,3
"GrahamCounty",69,0
"GranvilleCounty",1558,46
"GreeneCounty",431,4
"GuilfordCounty",7076,170
"HalifaxCounty",878,13
"HarnettCounty",1705,46
"HaywoodCounty",518,28
"HendersonCounty",1717,60
"HertfordCounty",572,18
"HokeCounty",887,13
"HydeCounty",104,0
"IredellCounty",2423,24
"JacksonCounty",496,7
"JohnstonCounty",3907,52
"JonesCounty",138,7
"LeeCounty",1455,13
"LenoirCounty",824,18
"LincolnCounty",1157,13
"MaconCounty",548,2
"MadisonCounty",71,1
"MartinCounty",360,7
"McDowellCounty",808,24
"MecklenburgCounty",25856,301
"MitchellCounty",93,3
"MontgomeryCounty",895,18
"MooreCounty",1331,21
"NashCounty",1752,27
"NewHanoverCounty",3214,23
"NorthamptonCounty",346,17
"OnslowCounty",1527,14
"OrangeCounty",2344,50
"PamlicoCounty",171,2
"PasquotankCounty",580,23
"PenderCounty",786,4
"PerquimansCounty",144,2
"PersonCounty",343,6
"PittCounty",3761,19
"PolkCounty",234,7
"RandolphCounty",2453,44
"RichmondCounty",685,11
"RobesonCounty",3674,61
"RockinghamCounty",886,8
"RowanCounty",2867,70
"RutherfordCounty",943,20
"SampsonCounty",1633,21
"ScotlandCounty",697,8
"StanlyCounty",1556,31
"StokesCounty",342,3
"SurryCounty",1187,17
"SwainCounty",134,3
"TransylvaniaCounty",260,2
"TyrrellCounty",108,2
"UnionCounty",4068,52
"VanceCounty",922,42
"WakeCounty",15391,202
"WarrenCounty",291,7
"WashingtonCounty",181,6
"WataugaCounty",471,0
"WayneCounty",2859,56
"WilkesCounty",1061,25
"WilsonCounty",1779,38
"YadkinCounty",653,7
"YanceyCounty",99,0
