"AlamanceCounty",5095,76
"AlexanderCounty",830,9
"AlleghanyCounty",294,2
"AnsonCounty",723,9
"AsheCounty",417,3
"AveryCounty",608,0
"BeaufortCounty",1349,40
"BertieCounty",724,19
"BladenCounty",1077,19
"BrunswickCounty",2160,41
"BuncombeCounty",4032,102
"BurkeCounty",2633,48
"CabarrusCounty",4815,91
"CaldwellCounty",2431,19
"CamdenCounty",135,3
"CarteretCounty",1113,5
"CaswellCounty",616,5
"CatawbaCounty",4302,61
"ChathamCounty",1922,61
"CherokeeCounty",769,14
"ChowanCounty",524,10
"ClayCounty",213,3
"ClevelandCounty",3088,83
"ColumbusCounty",1671,61
"CravenCounty",2288,57
"CumberlandCounty",6931,98
"CurrituckCounty",222,4
"DareCounty",367,3
"DavidsonCounty",3660,43
"DavieCounty",753,8
"DuplinCounty",2755,54
"DurhamCounty",8890,100
"EdgecombeCounty",1961,54
"ForsythCounty",8703,119
"FranklinCounty",1430,31
"GastonCounty",7243,112
"GatesCounty",167,3
"GrahamCounty",245,7
"GranvilleCounty",1979,50
"GreeneCounty",941,12
"GuilfordCounty",11200,205
"HalifaxCounty",1383,27
"HarnettCounty",2883,68
"HaywoodCounty",706,36
"HendersonCounty",2482,65
"HertfordCounty",852,34
"HokeCounty",1529,25
"HydeCounty",175,5
"IredellCounty",3750,34
"JacksonCounty",1015,7
"JohnstonCounty",5513,60
"JonesCounty",198,15
"LeeCounty",2066,19
"LenoirCounty",1418,39
"LincolnCounty",2324,16
"MaconCounty",749,7
"MadisonCounty",218,1
"MartinCounty",634,16
"McDowellCounty",1304,32
"MecklenburgCounty",33279,384
"MitchellCounty",211,4
"MontgomeryCounty",1178,38
"MooreCounty",2242,40
"NashCounty",3308,72
"NewHanoverCounty",5192,37
"NorthamptonCounty",556,19
"OnslowCounty",3225,28
"OrangeCounty",3059,58
"PamlicoCounty",312,2
"PasquotankCounty",858,35
"PenderCounty",1356,12
"PerquimansCounty",244,4
"PersonCounty",653,10
"PittCounty",6102,38
"PolkCounty",391,11
"RandolphCounty",3707,62
"RichmondCounty",1406,27
"RobesonCounty",5930,95
"RockinghamCounty",1932,19
"RowanCounty",4079,115
"RutherfordCounty",1732,53
"SampsonCounty",2702,31
"ScotlandCounty",1614,23
"StanlyCounty",2414,60
"StokesCounty",675,10
"SurryCounty",1795,29
"SwainCounty",265,4
"TransylvaniaCounty",409,9
"TyrrellCounty",130,3
"UnionCounty",5847,63
"VanceCounty",1195,47
"WakeCounty",20765,270
"WarrenCounty",426,7
"WashingtonCounty",246,8
"WataugaCounty",1378,5
"WayneCounty",4494,79
"WilkesCounty",1689,37
"WilsonCounty",2937,63
"YadkinCounty",996,9
"YanceyCounty",310,0
