"AlamanceCounty",700,32
"AlexanderCounty",48,0
"AlleghanyCounty",30,0
"AnsonCounty",85,1
"AsheCounty",43,1
"AveryCounty",6,0
"BeaufortCounty",51,0
"BertieCounty",134,4
"BladenCounty",188,2
"BrunswickCounty",206,3
"BuncombeCounty",439,34
"BurkeCounty",706,16
"CabarrusCounty",686,24
"CaldwellCounty",240,3
"CamdenCounty",6,0
"CarteretCounty",46,3
"CaswellCounty",101,1
"CatawbaCounty",399,10
"ChathamCounty",784,37
"CherokeeCounty",30,1
"ChowanCounty",19,0
"ClayCounty",9,0
"ClevelandCounty",152,2
"ColumbusCounty",415,29
"CravenCounty",255,5
"CumberlandCounty",874,30
"CurrituckCounty",16,0
"DareCounty",22,1
"DavidsonCounty",620,13
"DavieCounty",134,2
"DuplinCounty",1150,20
"DurhamCounty",2569,55
"EdgecombeCounty",244,9
"ForsythCounty",2128,25
"FranklinCounty",221,21
"GastonCounty",484,8
"GatesCounty",24,1
"GrahamCounty",6,0
"GranvilleCounty",657,15
"GreeneCounty",116,2
"GuilfordCounty",1983,91
"HalifaxCounty",238,1
"HarnettCounty",391,30
"HaywoodCounty",65,0
"HendersonCounty",426,48
"HertfordCounty",149,6
"HokeCounty",298,1
"HydeCounty",2,0
"IredellCounty",419,5
"JacksonCounty",57,1
"JohnstonCounty",802,25
"JonesCounty",25,3
"LeeCounty",581,5
"LenoirCounty",286,8
"LincolnCounty",125,0
"MaconCounty",185,1
"MadisonCounty",5,0
"MartinCounty",94,4
"McDowellCounty",142,1
"MecklenburgCounty",6862,119
"MitchellCounty",16,0
"MontgomeryCounty",198,5
"MooreCounty",298,10
"NashCounty",277,4
"NewHanoverCounty",334,5
"NorthamptonCounty",165,14
"OnslowCounty",156,3
"OrangeCounty",453,40
"PamlicoCounty",15,0
"PasquotankCounty",131,14
"PenderCounty",129,1
"PerquimansCounty",29,2
"PersonCounty",73,1
"PittCounty",464,2
"PolkCounty",55,4
"RandolphCounty",908,18
"RichmondCounty",201,5
"RobesonCounty",956,20
"RockinghamCounty",130,2
"RowanCounty",862,37
"RutherfordCounty",217,6
"SampsonCounty",728,4
"ScotlandCounty",107,0
"StanlyCounty",150,4
"StokesCounty",92,0
"SurryCounty",327,2
"SwainCounty",39,0
"TransylvaniaCounty",16,1
"TyrrellCounty",5,0
"UnionCounty",690,21
"VanceCounty",408,31
"WakeCounty",2892,41
"WarrenCounty",129,2
"WashingtonCounty",34,3
"WataugaCounty",43,0
"WayneCounty",1467,20
"WilkesCounty",542,6
"WilsonCounty",496,13
"YadkinCounty",233,4
"YanceyCounty",24,0
