"AlamanceCounty",8187,112
"AlexanderCounty",1940,19
"AlleghanyCounty",455,1
"AnsonCounty",1051,18
"AsheCounty",941,3
"AveryCounty",1114,11
"BeaufortCounty",1941,56
"BertieCounty",1001,26
"BladenCounty",1474,21
"BrunswickCounty",3482,66
"BuncombeCounty",6496,133
"BurkeCounty",4813,69
"CabarrusCounty",8241,111
"CaldwellCounty",4161,25
"CamdenCounty",219,4
"CarteretCounty",2065,16
"CaswellCounty",924,8
"CatawbaCounty",8197,105
"ChathamCounty",2509,65
"CherokeeCounty",1030,15
"ChowanCounty",691,19
"ClayCounty",304,5
"ClevelandCounty",4972,116
"ColumbusCounty",2946,74
"CravenCounty",3762,75
"CumberlandCounty",10726,124
"CurrituckCounty",445,6
"DareCounty",752,4
"DavidsonCounty",6260,58
"DavieCounty",1488,13
"DuplinCounty",3645,63
"DurhamCounty",12268,127
"EdgecombeCounty",2788,75
"ForsythCounty",15686,178
"FranklinCounty",2321,35
"GastonCounty",11771,193
"GatesCounty",264,10
"GrahamCounty",298,11
"GranvilleCounty",2847,59
"GreeneCounty",1301,28
"GuilfordCounty",19321,272
"HalifaxCounty",2232,38
"HarnettCounty",4652,83
"HaywoodCounty",1507,44
"HendersonCounty",3559,84
"HertfordCounty",1105,42
"HokeCounty",2210,34
"HydeCounty",196,5
"IredellCounty",6806,58
"JacksonCounty",1669,10
"JohnstonCounty",8759,83
"JonesCounty",315,15
"LeeCounty",2773,35
"LenoirCounty",2548,58
"LincolnCounty",4045,20
"MaconCounty",1024,9
"MadisonCounty",617,17
"MartinCounty",953,21
"McDowellCounty",2264,36
"MecklenburgCounty",49234,479
"MitchellCounty",642,6
"MontgomeryCounty",1544,43
"MooreCounty",3567,69
"NashCounty",4909,113
"NewHanoverCounty",7799,62
"NorthamptonCounty",901,27
"OnslowCounty",6486,47
"OrangeCounty",4253,62
"PamlicoCounty",451,4
"PasquotankCounty",1245,35
"PenderCounty",2107,18
"PerquimansCounty",389,4
"PersonCounty",1183,14
"PittCounty",9038,58
"PolkCounty",536,13
"RandolphCounty",6255,100
"RichmondCounty",2152,40
"RobesonCounty",8018,114
"RockinghamCounty",3502,23
"RowanCounty",6685,145
"RutherfordCounty",3017,80
"SampsonCounty",4061,52
"ScotlandCounty",2154,45
"StanlyCounty",3371,78
"StokesCounty",1395,22
"SurryCounty",3250,49
"SwainCounty",461,5
"TransylvaniaCounty",628,9
"TyrrellCounty",155,3
"UnionCounty",9186,81
"VanceCounty",2072,60
"WakeCounty",33082,319
"WarrenCounty",891,8
"WashingtonCounty",353,8
"WataugaCounty",2213,8
"WayneCounty",6369,121
"WilkesCounty",3056,58
"WilsonCounty",4534,89
"YadkinCounty",1829,19
"YanceyCounty",717,3
