"AlamanceCounty",1607,38
"AlexanderCounty",197,1
"AlleghanyCounty",50,0
"AnsonCounty",240,1
"AsheCounty",67,1
"AveryCounty",39,0
"BeaufortCounty",185,0
"BertieCounty",168,4
"BladenCounty",474,5
"BrunswickCounty",891,11
"BuncombeCounty",1044,40
"BurkeCounty",1292,21
"CabarrusCounty",1828,33
"CaldwellCounty",732,6
"CamdenCounty",44,1
"CarteretCounty",168,4
"CaswellCounty",160,2
"CatawbaCounty",1404,14
"ChathamCounty",1088,47
"CherokeeCounty",108,2
"ChowanCounty",44,0
"ClayCounty",27,0
"ClevelandCounty",621,10
"ColumbusCounty",672,39
"CravenCounty",488,8
"CumberlandCounty",1829,46
"CurrituckCounty",39,0
"DareCounty",126,1
"DavidsonCounty",1351,16
"DavieCounty",269,3
"DuplinCounty",1732,33
"DurhamCounty",4911,71
"EdgecombeCounty",420,9
"ForsythCounty",4008,40
"FranklinCounty",560,23
"GastonCounty",2120,17
"GatesCounty",30,2
"GrahamCounty",10,0
"GranvilleCounty",994,25
"GreeneCounty",250,3
"GuilfordCounty",3949,132
"HalifaxCounty",457,4
"HarnettCounty",844,32
"HaywoodCounty",154,0
"HendersonCounty",1034,51
"HertfordCounty",184,11
"HokeCounty",509,5
"HydeCounty",33,0
"IredellCounty",1265,10
"JacksonCounty",252,3
"JohnstonCounty",2295,38
"JonesCounty",42,3
"LeeCounty",968,8
"LenoirCounty",444,11
"LincolnCounty",521,2
"MaconCounty",368,1
"MadisonCounty",20,0
"MartinCounty",177,6
"McDowellCounty",355,3
"MecklenburgCounty",16657,167
"MitchellCounty",58,1
"MontgomeryCounty",430,10
"MooreCounty",684,14
"NashCounty",719,6
"NewHanoverCounty",1712,9
"NorthamptonCounty",210,16
"OnslowCounty",507,5
"OrangeCounty",1050,45
"PamlicoCounty",40,1
"PasquotankCounty",262,17
"PenderCounty",446,2
"PerquimansCounty",43,2
"PersonCounty",139,1
"PittCounty",1079,6
"PolkCounty",105,5
"RandolphCounty",1636,33
"RichmondCounty",391,7
"RobesonCounty",1863,46
"RockinghamCounty",336,2
"RowanCounty",1651,43
"RutherfordCounty",444,10
"SampsonCounty",1283,8
"ScotlandCounty",183,2
"StanlyCounty",621,5
"StokesCounty",184,1
"SurryCounty",642,3
"SwainCounty",77,1
"TransylvaniaCounty",68,1
"TyrrellCounty",63,1
"UnionCounty",2091,30
"VanceCounty",604,40
"WakeCounty",8354,86
"WarrenCounty",204,6
"WashingtonCounty",60,3
"WataugaCounty",163,0
"WayneCounty",2071,34
"WilkesCounty",651,7
"WilsonCounty",1075,28
"YadkinCounty",398,5
"YanceyCounty",65,0
