"AlamanceCounty",15938,230
"AlexanderCounty",3951,76
"AlleghanyCounty",928,5
"AnsonCounty",2327,53
"AsheCounty",1893,40
"AveryCounty",1849,20
"BeaufortCounty",4289,83
"BertieCounty",1664,41
"BladenCounty",2979,41
"BrunswickCounty",8116,137
"BuncombeCounty",15752,293
"BurkeCounty",9289,142
"CabarrusCounty",18727,236
"CaldwellCounty",8712,79
"CamdenCounty",596,5
"CarteretCounty",4479,44
"CaswellCounty",1993,24
"CatawbaCounty",17614,286
"ChathamCounty",4166,78
"CherokeeCounty",2136,19
"ChowanCounty",1382,22
"ClayCounty",662,18
"ClevelandCounty",10422,218
"ColumbusCounty",5931,147
"CravenCounty",8438,115
"CumberlandCounty",24477,281
"CurrituckCounty",1396,15
"DareCounty",1871,8
"DavidsonCounty",14746,167
"DavieCounty",3583,31
"DuplinCounty",5773,128
"DurhamCounty",21762,208
"EdgecombeCounty",4729,100
"ForsythCounty",32220,349
"FranklinCounty",5521,45
"GastonCounty",23974,379
"GatesCounty",678,12
"GrahamCounty",566,12
"GranvilleCounty",5304,76
"GreeneCounty",2144,42
"GuilfordCounty",40451,558
"HalifaxCounty",5032,99
"HarnettCounty",9843,155
"HaywoodCounty",3893,88
"HendersonCounty",8995,149
"HertfordCounty",1963,61
"HokeCounty",4169,54
"HydeCounty",628,8
"IredellCounty",16641,196
"JacksonCounty",3372,54
"JohnstonCounty",18214,199
"JonesCounty",739,16
"LeeCounty",5506,72
"LenoirCounty",5499,107
"LincolnCounty",8904,71
"MaconCounty",2586,28
"MadisonCounty",1373,39
"MartinCounty",2089,37
"McDowellCounty",4875,61
"MecklenburgCounty",97954,881
"MitchellCounty",1245,16
"MontgomeryCounty",3100,88
"MooreCounty",8076,178
"NashCounty",9877,172
"NewHanoverCounty",16459,152
"NorthamptonCounty",1728,33
"OnslowCounty",14833,134
"OrangeCounty",7827,95
"PamlicoCounty",972,10
"PasquotankCounty",3091,78
"PenderCounty",4772,60
"PerquimansCounty",924,8
"PersonCounty",3038,64
"PittCounty",17698,83
"PolkCounty",1364,27
"RandolphCounty",13500,205
"RichmondCounty",4247,91
"RobesonCounty",15332,212
"RockinghamCounty",6903,61
"RowanCounty",15041,290
"RutherfordCounty",6786,200
"SampsonCounty",6942,92
"ScotlandCounty",3508,77
"StanlyCounty",6917,111
"StokesCounty",3696,74
"SurryCounty",7443,140
"SwainCounty",1171,16
"TransylvaniaCounty",1950,27
"TyrrellCounty",305,6
"UnionCounty",21023,202
"VanceCounty",4414,82
"WakeCounty",75588,550
"WarrenCounty",1614,18
"WashingtonCounty",999,31
"WataugaCounty",4019,30
"WayneCounty",10331,225
"WilkesCounty",6054,104
"WilsonCounty",8543,150
"YadkinCounty",3680,46
"YanceyCounty",1463,26
