"AlamanceCounty",9082,114
"AlexanderCounty",2174,22
"AlleghanyCounty",529,2
"AnsonCounty",1226,19
"AsheCounty",1060,17
"AveryCounty",1236,15
"BeaufortCounty",2138,58
"BertieCounty",1096,27
"BladenCounty",1630,23
"BrunswickCounty",3802,70
"BuncombeCounty",7520,139
"BurkeCounty",5356,73
"CabarrusCounty",9371,120
"CaldwellCounty",4815,27
"CamdenCounty",245,4
"CarteretCounty",2354,16
"CaswellCounty",1005,8
"CatawbaCounty",9466,126
"ChathamCounty",2671,65
"CherokeeCounty",1123,15
"ChowanCounty",748,19
"ClayCounty",320,5
"ClevelandCounty",5642,131
"ColumbusCounty",3162,78
"CravenCounty",4361,79
"CumberlandCounty",12050,131
"CurrituckCounty",540,9
"DareCounty",831,4
"DavidsonCounty",7182,67
"DavieCounty",1750,13
"DuplinCounty",3868,65
"DurhamCounty",13323,129
"EdgecombeCounty",2985,78
"ForsythCounty",17734,197
"FranklinCounty",2642,37
"GastonCounty",13237,204
"GatesCounty",308,11
"GrahamCounty",326,11
"GranvilleCounty",3224,60
"GreeneCounty",1417,28
"GuilfordCounty",21420,291
"HalifaxCounty",2474,44
"HarnettCounty",5213,89
"HaywoodCounty",1741,55
"HendersonCounty",4287,89
"HertfordCounty",1204,44
"HokeCounty",2447,34
"HydeCounty",228,5
"IredellCounty",7845,61
"JacksonCounty",1923,13
"JohnstonCounty",9841,90
"JonesCounty",348,15
"LeeCounty",3035,38
"LenoirCounty",2844,62
"LincolnCounty",4571,20
"MaconCounty",1151,9
"MadisonCounty",707,18
"MartinCounty",1139,23
"McDowellCounty",2624,38
"MecklenburgCounty",54463,499
"MitchellCounty",786,7
"MontgomeryCounty",1708,44
"MooreCounty",4116,73
"NashCounty",5415,116
"NewHanoverCounty",8570,69
"NorthamptonCounty",950,27
"OnslowCounty",7518,55
"OrangeCounty",4593,62
"PamlicoCounty",488,5
"PasquotankCounty",1457,38
"PenderCounty",2402,21
"PerquimansCounty",435,4
"PersonCounty",1356,20
"PittCounty",10001,64
"PolkCounty",589,13
"RandolphCounty",6995,107
"RichmondCounty",2373,44
"RobesonCounty",8645,115
"RockinghamCounty",3923,23
"RowanCounty",7593,154
"RutherfordCounty",3534,90
"SampsonCounty",4396,57
"ScotlandCounty",2331,50
"StanlyCounty",3738,78
"StokesCounty",1643,23
"SurryCounty",3723,53
"SwainCounty",538,6
"TransylvaniaCounty",745,10
"TyrrellCounty",161,3
"UnionCounty",10401,88
"VanceCounty",2338,64
"WakeCounty",37328,333
"WarrenCounty",994,9
"WashingtonCounty",379,10
"WataugaCounty",2377,14
"WayneCounty",6814,131
"WilkesCounty",3368,66
"WilsonCounty",4938,94
"YadkinCounty",2087,24
"YanceyCounty",894,8
